Project;Manager;Category;Key;Author;ChangeDate;Field;From;To
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2;amar_kamat;2009-06-16T08:53:10.750+0000;Link;;This issue is part of HADOOP-5779
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2;amar_kamat;2009-06-16T09:50:40.201+0000;Attachment;;HADOOP-6052-v1.0.patch
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2;amar_kamat;2009-06-17T13:27:03.965+0000;Attachment;;HADOOP-6052-v1.0-branch0.20.patch
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2;amar_kamat;2009-06-18T06:26:32.266+0000;Attachment;;HADOOP-6052-v1.1.patch
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2;owen.omalley;2009-06-20T07:50:44.675+0000;Fix version;0.21.0;
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2;owen.omalley;2009-06-20T07:50:44.675+0000;Component;mapred;
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2;owen.omalley;2009-06-20T07:50:44.675+0000;Version;0.20.0;
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2;owen.omalley;2009-06-20T07:50:44.675+0000;Key;HADOOP-6052;MAPREDUCE-2
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2;owen.omalley;2009-06-20T07:50:44.675+0000;Project;Hadoop Common;Hadoop Map/Reduce
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2;amar_kamat;2009-06-22T03:57:57.882+0000;Status;Open;Patch Available
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2;amar_kamat;2009-06-22T08:02:00.802+0000;Attachment;;MAPREDUCE-2-v1.0.patch
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2;amar_kamat;2009-06-25T10:09:34.554+0000;Attachment;;MAPREDUCE-2-v1.1.patch
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2;amar_kamat;2009-06-25T10:29:40.739+0000;Attachment;;MAPREDUCE-2-v1.1-branch-0.20.patch
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2;sharadag;2009-06-26T08:42:04.243+0000;Resolution;;Fixed
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2;sharadag;2009-06-26T08:42:04.243+0000;Fix version;;0.20.1
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2;sharadag;2009-06-26T08:42:04.243+0000;Hadoop flags;;[Reviewed]
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2;sharadag;2009-06-26T08:42:04.243+0000;Status;Patch Available;Resolved
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2;nidaley;2009-06-26T16:11:48.331+0000;Summary;lost:1 data:1 field:1 exist:1;loose:1 data:1 field:1 exist:1
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2;amar_kamat;2009-06-29T11:00:58.031+0000;Release note;;KeyFieldBasedPartitioner throws ArrayOutOfIndex when passed an empty key. This patch hashes empty key to 0 hashcode.
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2;amar_kamat;2009-06-29T11:00:58.031+0000;Summary;loose:1 data:1 field:1 exist:1;error:1 empty:1 key:1
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2;sumanshg;2009-07-08T05:44:40.259+0000;Link;;This issue is blocked by HADOOP-6130
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-3;owen.omalley;2009-06-20T07:50:44.741+0000;Component;mapred;
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-3;owen.omalley;2009-06-20T07:50:44.741+0000;Version;0.20.1;
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-3;owen.omalley;2009-06-20T07:50:44.741+0000;Key;HADOOP-6033;MAPREDUCE-3
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-3;owen.omalley;2009-06-20T07:50:44.741+0000;Project;Hadoop Common;Hadoop Map/Reduce
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-3;aw;2014-07-22T21:12:30.777+0000;Resolution;;Fixed
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-3;aw;2014-07-22T21:12:30.777+0000;Status;Open;Resolved
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-12;sreekanth;2009-04-16T03:26:10.223+0000;Assignee;;Sreekanth Ramakrishnan
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-12;sreekanth;2009-04-16T05:10:01.653+0000;Attachment;;hadoop-5686-1.patch
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-12;owen.omalley;2009-06-20T07:50:45.335+0000;Component;mapred;
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-12;owen.omalley;2009-06-20T07:50:45.335+0000;Key;HADOOP-5686;MAPREDUCE-12
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-12;owen.omalley;2009-06-20T07:50:45.335+0000;Project;Hadoop Common;Hadoop Map/Reduce
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-12;sreekanth;2009-07-29T08:50:13.241+0000;Status;Open;Resolved
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-12;sreekanth;2009-07-29T08:50:13.241+0000;Resolution;;Fixed
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-18;owen.omalley;2009-06-20T07:50:45.639+0000;Fix version;0.20.1;
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-18;owen.omalley;2009-06-20T07:50:45.639+0000;Component;mapred;
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-18;owen.omalley;2009-06-20T07:50:45.639+0000;Version;0.20.0;
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-18;owen.omalley;2009-06-20T07:50:45.639+0000;Key;HADOOP-5783;MAPREDUCE-18
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-18;owen.omalley;2009-06-20T07:50:45.639+0000;Project;Hadoop Common;Hadoop Map/Reduce
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-18;ravidotg;2009-07-08T04:20:25.920+0000;Assignee;;Ravi Gummadi
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-18;ravidotg;2009-07-10T03:40:39.800+0000;Attachment;;MR-18.patch
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-18;ravidotg;2009-07-13T08:59:14.392+0000;Attachment;;MR-18.v1.patch
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-18;ravidotg;2009-07-16T06:10:22.585+0000;Version;;0.21.0
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-18;ravidotg;2009-07-16T06:10:22.585+0000;Release note;;This patch adds the mapid and reduceid in the http header of mapoutput when being sent to reduce node. Also validates compressed length, decompressed length, mapid and reduceid from http header at reduce node.
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-18;ravidotg;2009-07-16T06:10:22.585+0000;Status;Open;Patch Available
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-18;ravidotg;2009-07-16T06:10:22.585+0000;Fix version;;0.21.0
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-18;ravidotg;2009-07-16T08:30:51.035+0000;Attachment;;MR-18-0.20.patch
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-18;ravidotg;2009-07-16T10:22:00.772+0000;Attachment;;MR-18.v1.1.patch
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-18;devaraj;2009-07-16T11:48:44.858+0000;Resolution;;Fixed
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-18;devaraj;2009-07-16T11:48:44.858+0000;Fix version;0.21.0;
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-18;devaraj;2009-07-16T11:48:44.858+0000;Fix version;;0.20.1
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-18;devaraj;2009-07-16T11:48:44.858+0000;Hadoop flags;;[Reviewed]
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-18;devaraj;2009-07-16T11:48:44.858+0000;Status;Patch Available;Resolved
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-18;devaraj;2009-07-16T11:49:00.886+0000;Version;0.21.0;
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-18;devaraj;2009-07-16T11:49:00.886+0000;Version;;0.20.1
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-28;owen.omalley;2009-06-20T07:50:46.840+0000;Fix version;0.21.0;
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-28;owen.omalley;2009-06-20T07:50:46.840+0000;Component;test;
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-28;owen.omalley;2009-06-20T07:50:46.840+0000;Component;mapred;
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-28;owen.omalley;2009-06-20T07:50:46.840+0000;Key;HADOOP-5283;MAPREDUCE-28
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-28;owen.omalley;2009-06-20T07:50:46.840+0000;Project;Hadoop Common;Hadoop Map/Reduce
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-28;chaitk;2009-09-25T10:38:57.604+0000;Link;;This issue incorporates MAPREDUCE-1040
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-28;chaitk;2009-10-06T09:53:36.979+0000;Link;;This issue incorporates MAPREDUCE-1067
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-28;chaitk;2009-10-06T11:29:10.045+0000;Link;This issue incorporates MAPREDUCE-1067;
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-28;amareshwari;2009-10-07T06:44:36.430+0000;Fix version;;0.21.0
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-28;chaitk;2009-10-07T11:17:06.916+0000;Assignee;;V.V.Chaitanya Krishna
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-28;chaitk;2009-10-07T11:19:23.348+0000;Attachment;;MAPREDUCE-28-1.txt
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-28;chaitk;2009-10-09T07:47:38.665+0000;Attachment;;MAPREDUCE-28-2.txt
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-28;chaitk;2009-10-09T10:53:42.785+0000;Attachment;;MAPREDUCE-28-3.txt
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-28;chaitk;2009-10-12T04:04:18.669+0000;Attachment;;MAPREDUCE-28-4.txt
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-28;chaitk;2009-10-13T11:40:39.066+0000;Attachment;;MAPREDUCE-28-5.txt
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-28;chaitk;2009-10-14T12:29:20.872+0000;Attachment;;MAPREDUCE-28-6.txt
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-28;chaitk;2009-10-15T05:07:27.269+0000;Link;;This issue blocks MAPREDUCE-1075
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-28;chaitk;2009-10-15T09:44:14.106+0000;Attachment;;MAPREDUCE-28-7.txt
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-28;chaitk;2009-10-16T05:58:50.116+0000;Status;Open;Patch Available
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-28;chaitk;2009-10-16T06:09:36.524+0000;Status;Patch Available;Open
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-28;rksingh;2009-10-16T16:17:27.413+0000;Attachment;;MAPREDUCE-28-8.patch
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-28;rksingh;2009-10-19T02:25:52.716+0000;Status;Open;Patch Available
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-28;chaitk;2009-10-19T09:38:38.748+0000;Status;Patch Available;Open
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-28;chaitk;2009-10-19T09:38:47.664+0000;Status;Open;Patch Available
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-28;chaitk;2009-10-19T15:13:41.460+0000;Status;Patch Available;Open
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-28;chaitk;2009-10-19T15:13:49.354+0000;Status;Open;Patch Available
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-28;vinodkv;2009-11-10T09:40:03.334+0000;Version;;0.21.0
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-28;vinodkv;2009-11-10T09:40:03.334+0000;Status;Patch Available;Open
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-28;vinodkv;2009-11-10T09:41:17.931+0000;Component;;test
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-28;vinodkv;2009-11-10T09:41:17.931+0000;Component;;jobtracker
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-28;vinodkv;2009-11-10T09:41:46.807+0000;Status;Open;Patch Available
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-28;sreekanth;2009-11-20T09:45:49.415+0000;Status;Patch Available;Open
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-28;sreekanth;2009-11-20T09:46:11.753+0000;Status;Open;Patch Available
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-28;sharadag;2009-11-27T04:51:37.602+0000;Resolution;;Fixed
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-28;sharadag;2009-11-27T04:51:37.602+0000;Hadoop flags;;[Reviewed]
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-28;sharadag;2009-11-27T04:51:37.602+0000;Status;Patch Available;Resolved
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-28;tomwhite;2010-08-24T21:13:17.342+0000;Status;Resolved;Closed
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-40;vinodkv;2009-06-03T05:46:32.084+0000;Assignee;;rahul k singh
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-40;rksingh;2009-06-09T10:01:38.637+0000;Attachment;;hadoop-5919-1.patch
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-40;rksingh;2009-06-15T09:41:07.816+0000;Attachment;;hadoop-5919-2.patch
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-40;rksingh;2009-06-15T17:52:15.143+0000;Attachment;;hadoop-5919-3.patch
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-40;owen.omalley;2009-06-20T07:50:47.435+0000;Component;mapred;
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-40;owen.omalley;2009-06-20T07:50:47.435+0000;Key;HADOOP-5919;MAPREDUCE-40
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-40;owen.omalley;2009-06-20T07:50:47.435+0000;Project;Hadoop Common;Hadoop Map/Reduce
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-40;rksingh;2009-06-25T09:28:06.032+0000;Attachment;;hadoop-5919-4.patch
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-40;rksingh;2009-06-26T12:02:30.785+0000;Attachment;;hadoop-5919-5.patch
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-40;rksingh;2009-06-26T13:12:40.247+0000;Attachment;;hadoop-5919-6.patch
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-40;rksingh;2009-07-07T11:46:32.190+0000;Attachment;;hadoop-5919-7.patch
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-40;rksingh;2009-07-08T12:47:19.171+0000;Attachment;;hadoop-5919-8.patch
