Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6096;84541f6f91ba21b551db7c0c340737d0bd893104;0;Thomas White;2009-06-23 15:29:09;Thomas White;2009-06-23 15:29:09;project:2 fix:1 eclipse:1 files:1 following:1 split:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;.classpath;.eclipse.templates/.classpath;MODIFY;0;0;33;43;0;39.0;0.0;378.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6096;84541f6f91ba21b551db7c0c340737d0bd893104;0;Thomas White;2009-06-23 15:29:09;Thomas White;2009-06-23 15:29:09;project:2 fix:1 eclipse:1 files:1 following:1 split:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;CHANGES.txt;CHANGES.txt;MODIFY;0;0;3;0;0;6024.0;0.0;31302.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6122;b8d9ca281dd2345a7a0acf85f0161b17bc677cf0;0;Tsz-wo Sze;2009-07-01 00:56:15;Tsz-wo Sze;2009-07-01 00:56:15;great:1 operator:1 test:1 patch:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;CHANGES.txt;CHANGES.txt;MODIFY;0;0;3;0;0;6042.0;0.0;31366.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6122;b8d9ca281dd2345a7a0acf85f0161b17bc677cf0;0;Tsz-wo Sze;2009-07-01 00:56:15;Tsz-wo Sze;2009-07-01 00:56:15;great:1 operator:1 test:1 patch:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;test-patch.sh;src/test/bin/test-patch.sh;MODIFY;1;0;2;2;15;656.0;65.0;2603.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6114;cf3d3a0643ace6f4b4bc2c6ff434bbff249e92a3;0;Dhruba Borthakur;2009-07-01 17:20:42;Dhruba Borthakur;2009-07-01 17:20:42;fix:1 documentation:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;CHANGES.txt;CHANGES.txt;MODIFY;0;0;3;0;0;6044.0;0.0;31384.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6114;cf3d3a0643ace6f4b4bc2c6ff434bbff249e92a3;0;Dhruba Borthakur;2009-07-01 17:20:42;Dhruba Borthakur;2009-07-01 17:20:42;fix:1 documentation:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;FileStatus.java;src/java/org/apache/hadoop/fs/FileStatus.java;MODIFY;1;0;3;2;21;126.0;30.0;809.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6131;da8cf6702a722aec98c893dbce667d13f4d2e39c;0;Mahadev Konar;2009-07-08 20:35:26;Mahadev Konar;2009-07-08 20:35:26;set:2 property:1 ant:1 command:1 line:1 build:1 tang:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;CHANGES.txt;CHANGES.txt;MODIFY;0;0;3;0;0;7179.0;0.0;37024.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6131;da8cf6702a722aec98c893dbce667d13f4d2e39c;0;Mahadev Konar;2009-07-08 20:35:26;Mahadev Konar;2009-07-08 20:35:26;set:2 property:1 ant:1 command:1 line:1 build:1 tang:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;build.xml;build.xml;MODIFY;0;0;4;2;0;1306.0;0.0;1329.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6137;127254f4a5936444c0f4b7f6d5ea7cb15e10ccc8;0;Giridharan Kesavan;2009-07-09 08:10:18;Giridharan Kesavan;2009-07-09 08:10:18;fix:1 project:1 specific:1 test:1 patch:1 requirements:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;CHANGES.txt;CHANGES.txt;MODIFY;0;0;3;0;0;7182.0;0.0;37024.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6137;127254f4a5936444c0f4b7f6d5ea7cb15e10ccc8;0;Giridharan Kesavan;2009-07-09 08:10:18;Giridharan Kesavan;2009-07-09 08:10:18;fix:1 project:1 specific:1 test:1 patch:1 requirements:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;test-patch.sh;src/test/bin/test-patch.sh;MODIFY;1;0;7;3;15;660.0;66.0;2618.0
