Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
HDFS;Apache Hadoop Committee;big-data;HDFS-1044;ec1a112a1daca4076df2023c39253900a1263b2e;0;Boris Shkolnik;2010-05-21 22:21:13;Boris Shkolnik;2010-05-21 22:21:13;add:1 method:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;CHANGES.txt;CHANGES.txt;MODIFY;0;0;3;0;0;7892.0;0.0;37812.0
HDFS;Apache Hadoop Committee;big-data;HDFS-1044;ec1a112a1daca4076df2023c39253900a1263b2e;0;Boris Shkolnik;2010-05-21 22:21:13;Boris Shkolnik;2010-05-21 22:21:13;add:1 method:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;AbstractDelegationTokenSecretManager.java;src/java/org/apache/hadoop/security/token/delegation/AbstractDelegationTokenSecretManager.java;MODIFY;1;0;8;0;20;270.0;47.0;1720.0
HDFS;Apache Hadoop Committee;big-data;HDFS-1181;32469f1bdff2bff774674f6a266ec7af215b8cde;0;Thomas White;2010-06-10 23:01:33;Thomas White;2010-06-10 23:01:33;move:1 configuration:1 script:1 files:1 post:1 split:1 includes:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;CHANGES.txt;CHANGES.txt;MODIFY;0;0;2;0;0;6707.0;0.0;34723.0
HDFS;Apache Hadoop Committee;big-data;HDFS-1181;32469f1bdff2bff774674f6a266ec7af215b8cde;0;Thomas White;2010-06-10 23:01:33;Thomas White;2010-06-10 23:01:33;move:1 configuration:1 script:1 files:1 post:1 split:1 includes:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;hadoop;bin/hadoop;MODIFY;0;0;6;2;1;93.0;1.0;424.0
HDFS;Apache Hadoop Committee;big-data;HDFS-1181;32469f1bdff2bff774674f6a266ec7af215b8cde;0;Thomas White;2010-06-10 23:01:33;Thomas White;2010-06-10 23:01:33;move:1 configuration:1 script:1 files:1 post:1 split:1 includes:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;hadoop-config.sh;bin/hadoop-config.sh;MODIFY;1;0;50;35;0;204.0;0.0;1219.0
HDFS;Apache Hadoop Committee;big-data;HDFS-1181;32469f1bdff2bff774674f6a266ec7af215b8cde;0;Thomas White;2010-06-10 23:01:33;Thomas White;2010-06-10 23:01:33;move:1 configuration:1 script:1 files:1 post:1 split:1 includes:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;hdfs;bin/hdfs;DELETE;0;0;0;113;0;;;
HDFS;Apache Hadoop Committee;big-data;HDFS-1181;32469f1bdff2bff774674f6a266ec7af215b8cde;0;Thomas White;2010-06-10 23:01:33;Thomas White;2010-06-10 23:01:33;move:1 configuration:1 script:1 files:1 post:1 split:1 includes:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;hdfs-config.sh;bin/hdfs-config.sh;DELETE;1;0;0;33;0;;;
HDFS;Apache Hadoop Committee;big-data;HDFS-1181;32469f1bdff2bff774674f6a266ec7af215b8cde;0;Thomas White;2010-06-10 23:01:33;Thomas White;2010-06-10 23:01:33;move:1 configuration:1 script:1 files:1 post:1 split:1 includes:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;mapred;bin/mapred;DELETE;0;0;0;100;0;;;
HDFS;Apache Hadoop Committee;big-data;HDFS-1181;32469f1bdff2bff774674f6a266ec7af215b8cde;0;Thomas White;2010-06-10 23:01:33;Thomas White;2010-06-10 23:01:33;move:1 configuration:1 script:1 files:1 post:1 split:1 includes:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;mapred-config.sh;bin/mapred-config.sh;DELETE;1;0;0;33;0;;;
HDFS;Apache Hadoop Committee;big-data;HDFS-1181;32469f1bdff2bff774674f6a266ec7af215b8cde;0;Thomas White;2010-06-10 23:01:33;Thomas White;2010-06-10 23:01:33;move:1 configuration:1 script:1 files:1 post:1 split:1 includes:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;rcc;bin/rcc;MODIFY;0;0;1;1;0;54.0;0.0;300.0
