Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-1718;75e78e04849f3e47e7fcd4bd1e7a3151c8de55e0;0;Boris Shkolnik;2010-07-19 16:51:16;Boris Shkolnik;2010-07-19 16:51:16;add:1 method:1 part:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;CHANGES.txt;CHANGES.txt;MODIFY;0;0;3;0;0;7968.0;0.0;39332.0
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-1718;75e78e04849f3e47e7fcd4bd1e7a3151c8de55e0;0;Boris Shkolnik;2010-07-19 16:51:16;Boris Shkolnik;2010-07-19 16:51:16;add:1 method:1 part:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;SecurityUtil.java;src/java/org/apache/hadoop/security/SecurityUtil.java;MODIFY;1;0;21;1;4;67.0;13.0;532.0
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-1664;e9c1efd4cccab19048653280afcbcc946548b557;0;Vinod Kumar Vavilapalli;2010-09-17 07:25:57;Vinod Kumar Vavilapalli;2010-09-17 07:25:57;common:2 part:1 makes:1 updates:1 documentation:1 job:1 contributed:1 git:1 id:1 https:1 apache:1 trunk:1;CHANGES.txt;CHANGES.txt;MODIFY;0;0;3;0;0;8077.0;0.0;39786.0
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-1664;e9c1efd4cccab19048653280afcbcc946548b557;0;Vinod Kumar Vavilapalli;2010-09-17 07:25:57;Vinod Kumar Vavilapalli;2010-09-17 07:25:57;common:2 part:1 makes:1 updates:1 documentation:1 job:1 contributed:1 git:1 id:1 https:1 apache:1 trunk:1;cluster_setup.xml;src/docs/src/documentation/content/xdocs/cluster_setup.xml;MODIFY;0;0;25;16;0;1293.0;0.0;4511.0
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-1664;e9c1efd4cccab19048653280afcbcc946548b557;0;Vinod Kumar Vavilapalli;2010-09-17 07:25:57;Vinod Kumar Vavilapalli;2010-09-17 07:25:57;common:2 part:1 makes:1 updates:1 documentation:1 job:1 contributed:1 git:1 id:1 https:1 apache:1 trunk:1;AccessControlList.java;src/java/org/apache/hadoop/security/authorize/AccessControlList.java;MODIFY;1;0;18;2;20;196.0;52.0;1118.0
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2588;87fee9cb2a3e0e78653bde323e3d383d869a1b68;0;Tsz-wo Sze;2011-06-13 18:16:45;Tsz-wo Sze;2011-06-13 18:16:45;change:1 raid:1 new:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;CHANGES.txt;mapreduce/CHANGES.txt;MODIFY;0;0;2;0;0;1953.0;0.0;9442.0
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2588;87fee9cb2a3e0e78653bde323e3d383d869a1b68;0;Tsz-wo Sze;2011-06-13 18:16:45;Tsz-wo Sze;2011-06-13 18:16:45;change:1 raid:1 new:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;RaidBlockSender.java;mapreduce/src/contrib/raid/src/java/org/apache/hadoop/hdfs/server/datanode/RaidBlockSender.java;MODIFY;1;0;1;1;7;308.0;55.0;1963.0
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2588;87fee9cb2a3e0e78653bde323e3d383d869a1b68;0;Tsz-wo Sze;2011-06-13 18:16:45;Tsz-wo Sze;2011-06-13 18:16:45;change:1 raid:1 new:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;BlockFixer.java;mapreduce/src/contrib/raid/src/java/org/apache/hadoop/raid/BlockFixer.java;MODIFY;1;0;2;3;24;589.0;83.0;4065.0
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2576;c52787d2877a20c5b526066a093eb1cea95f3a32;0;Jakob Homan;2011-06-16 01:13:34;Jakob Homan;2011-06-16 01:13:34;typo:1 comment:1 java:1 contributed:1 sell:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;CHANGES.txt;mapreduce/CHANGES.txt;MODIFY;0;0;3;0;0;1961.0;0.0;9524.0
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2576;c52787d2877a20c5b526066a093eb1cea95f3a32;0;Jakob Homan;2011-06-16 01:13:34;Jakob Homan;2011-06-16 01:13:34;typo:1 comment:1 java:1 contributed:1 sell:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;SimulatorLaunchTaskAction.java;mapreduce/src/contrib/mumak/src/java/org/apache/hadoop/mapred/SimulatorLaunchTaskAction.java;MODIFY;1;0;1;1;3;18.0;3.0;98.0
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2550;5f81b0f4216ad57c2e25f615de8aead08b52caa8;0;Todd Lipcon;2011-06-17 20:51:22;Todd Lipcon;2011-06-17 20:51:22;fix:1 bin:1 work:1 properly:1 within:1 source:1 checkout:1 contributed:1 yang:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;CHANGES.txt;mapreduce/CHANGES.txt;MODIFY;0;0;3;0;0;1963.0;0.0;9546.0
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2550;5f81b0f4216ad57c2e25f615de8aead08b52caa8;0;Todd Lipcon;2011-06-17 20:51:22;Todd Lipcon;2011-06-17 20:51:22;fix:1 bin:1 work:1 properly:1 within:1 source:1 checkout:1 contributed:1 yang:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;mapred;mapreduce/bin/mapred;MODIFY;0;0;5;1;1;84.0;1.0;485.0
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2550;5f81b0f4216ad57c2e25f615de8aead08b52caa8;0;Todd Lipcon;2011-06-17 20:51:22;Todd Lipcon;2011-06-17 20:51:22;fix:1 bin:1 work:1 properly:1 within:1 source:1 checkout:1 contributed:1 yang:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;mapred-config.sh;mapreduce/bin/mapred-config.sh;MODIFY;1;0;8;4;0;19.0;0.0;93.0
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2550;5f81b0f4216ad57c2e25f615de8aead08b52caa8;0;Todd Lipcon;2011-06-17 20:51:22;Todd Lipcon;2011-06-17 20:51:22;fix:1 bin:1 work:1 properly:1 within:1 source:1 checkout:1 contributed:1 yang:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;start-mapred.sh;mapreduce/bin/start-mapred.sh;MODIFY;1;0;6;1;0;13.0;0.0;96.0
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2550;5f81b0f4216ad57c2e25f615de8aead08b52caa8;0;Todd Lipcon;2011-06-17 20:51:22;Todd Lipcon;2011-06-17 20:51:22;fix:1 bin:1 work:1 properly:1 within:1 source:1 checkout:1 contributed:1 yang:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;stop-mapred.sh;mapreduce/bin/stop-mapred.sh;MODIFY;1;0;5;1;0;13.0;0.0;96.0
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2603;c7c8f2fe48d3a16ac70fb98f662d3d77292ba0cd;0;Amar Kamat;2011-06-22 04:48:53;Amar Kamat;2011-06-22 04:48:53;disable:1 high:1 ram:1 emulation:1 system:1 tests:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;CHANGES.txt;mapreduce/CHANGES.txt;MODIFY;0;0;3;0;0;1966.0;0.0;9546.0
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2603;c7c8f2fe48d3a16ac70fb98f662d3d77292ba0cd;0;Amar Kamat;2011-06-22 04:48:53;Amar Kamat;2011-06-22 04:48:53;disable:1 high:1 ram:1 emulation:1 system:1 tests:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;TestCompressionEmulationEnableForAllTypesOfJobs.java;mapreduce/src/contrib/gridmix/src/test/system/org/apache/hadoop/mapred/gridmix/TestCompressionEmulationEnableForAllTypesOfJobs.java;MODIFY;1;1;2;0;2;53.0;2.0;345.0
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2603;c7c8f2fe48d3a16ac70fb98f662d3d77292ba0cd;0;Amar Kamat;2011-06-22 04:48:53;Amar Kamat;2011-06-22 04:48:53;disable:1 high:1 ram:1 emulation:1 system:1 tests:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;TestCompressionEmulationForCompressInAndUncompressOut.java;mapreduce/src/contrib/gridmix/src/test/system/org/apache/hadoop/mapred/gridmix/TestCompressionEmulationForCompressInAndUncompressOut.java;MODIFY;1;1;2;0;2;55.0;2.0;371.0
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2603;c7c8f2fe48d3a16ac70fb98f662d3d77292ba0cd;0;Amar Kamat;2011-06-22 04:48:53;Amar Kamat;2011-06-22 04:48:53;disable:1 high:1 ram:1 emulation:1 system:1 tests:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;TestCompressionEmulationForUncompressInAndCompressOut.java;mapreduce/src/contrib/gridmix/src/test/system/org/apache/hadoop/mapred/gridmix/TestCompressionEmulationForUncompressInAndCompressOut.java;MODIFY;1;1;2;0;2;55.0;2.0;364.0
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2603;c7c8f2fe48d3a16ac70fb98f662d3d77292ba0cd;0;Amar Kamat;2011-06-22 04:48:53;Amar Kamat;2011-06-22 04:48:53;disable:1 high:1 ram:1 emulation:1 system:1 tests:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;TestEmulationOfHDFSAndLocalFSDCFiles.java;mapreduce/src/contrib/gridmix/src/test/system/org/apache/hadoop/mapred/gridmix/TestEmulationOfHDFSAndLocalFSDCFiles.java;MODIFY;1;1;2;0;2;54.0;2.0;366.0
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2603;c7c8f2fe48d3a16ac70fb98f662d3d77292ba0cd;0;Amar Kamat;2011-06-22 04:48:53;Amar Kamat;2011-06-22 04:48:53;disable:1 high:1 ram:1 emulation:1 system:1 tests:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;TestEmulationOfHDFSDCFileUsesMultipleJobs.java;mapreduce/src/contrib/gridmix/src/test/system/org/apache/hadoop/mapred/gridmix/TestEmulationOfHDFSDCFileUsesMultipleJobs.java;MODIFY;1;1;2;0;2;51.0;2.0;342.0
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2603;c7c8f2fe48d3a16ac70fb98f662d3d77292ba0cd;0;Amar Kamat;2011-06-22 04:48:53;Amar Kamat;2011-06-22 04:48:53;disable:1 high:1 ram:1 emulation:1 system:1 tests:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;TestEmulationOfHDFSDCFilesWithDifferentVisibilities.java;mapreduce/src/contrib/gridmix/src/test/system/org/apache/hadoop/mapred/gridmix/TestEmulationOfHDFSDCFilesWithDifferentVisibilities.java;MODIFY;1;1;2;0;2;52.0;2.0;342.0
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2603;c7c8f2fe48d3a16ac70fb98f662d3d77292ba0cd;0;Amar Kamat;2011-06-22 04:48:53;Amar Kamat;2011-06-22 04:48:53;disable:1 high:1 ram:1 emulation:1 system:1 tests:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;TestEmulationOfLocalFSDCFiles.java;mapreduce/src/contrib/gridmix/src/test/system/org/apache/hadoop/mapred/gridmix/TestEmulationOfLocalFSDCFiles.java;MODIFY;1;1;2;0;2;53.0;2.0;366.0
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2603;c7c8f2fe48d3a16ac70fb98f662d3d77292ba0cd;0;Amar Kamat;2011-06-22 04:48:53;Amar Kamat;2011-06-22 04:48:53;disable:1 high:1 ram:1 emulation:1 system:1 tests:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;TestGridMixDataGeneration.java;mapreduce/src/contrib/gridmix/src/test/system/org/apache/hadoop/mapred/gridmix/TestGridMixDataGeneration.java;MODIFY;1;1;3;0;9;174.0;16.0;1287.0
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2603;c7c8f2fe48d3a16ac70fb98f662d3d77292ba0cd;0;Amar Kamat;2011-06-22 04:48:53;Amar Kamat;2011-06-22 04:48:53;disable:1 high:1 ram:1 emulation:1 system:1 tests:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;TestGridMixFilePool.java;mapreduce/src/contrib/gridmix/src/test/system/org/apache/hadoop/mapred/gridmix/TestGridMixFilePool.java;MODIFY;1;1;1;0;5;100.0;8.0;807.0
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2603;c7c8f2fe48d3a16ac70fb98f662d3d77292ba0cd;0;Amar Kamat;2011-06-22 04:48:53;Amar Kamat;2011-06-22 04:48:53;disable:1 high:1 ram:1 emulation:1 system:1 tests:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;TestGridmixCompressionEmulationWithCompressInput.java;mapreduce/src/contrib/gridmix/src/test/system/org/apache/hadoop/mapred/gridmix/TestGridmixCompressionEmulationWithCompressInput.java;MODIFY;1;1;2;0;2;60.0;2.0;397.0
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2603;c7c8f2fe48d3a16ac70fb98f662d3d77292ba0cd;0;Amar Kamat;2011-06-22 04:48:53;Amar Kamat;2011-06-22 04:48:53;disable:1 high:1 ram:1 emulation:1 system:1 tests:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;TestGridmixEmulationOfHDFSPrivateDCFile.java;mapreduce/src/contrib/gridmix/src/test/system/org/apache/hadoop/mapred/gridmix/TestGridmixEmulationOfHDFSPrivateDCFile.java;MODIFY;1;1;2;0;2;51.0;2.0;340.0
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2603;c7c8f2fe48d3a16ac70fb98f662d3d77292ba0cd;0;Amar Kamat;2011-06-22 04:48:53;Amar Kamat;2011-06-22 04:48:53;disable:1 high:1 ram:1 emulation:1 system:1 tests:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;TestGridmixEmulationOfHDFSPublicDCFile.java;mapreduce/src/contrib/gridmix/src/test/system/org/apache/hadoop/mapred/gridmix/TestGridmixEmulationOfHDFSPublicDCFile.java;MODIFY;1;1;2;0;2;51.0;2.0;340.0
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2603;c7c8f2fe48d3a16ac70fb98f662d3d77292ba0cd;0;Amar Kamat;2011-06-22 04:48:53;Amar Kamat;2011-06-22 04:48:53;disable:1 high:1 ram:1 emulation:1 system:1 tests:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;TestGridmixEmulationOfMultipleHDFSPrivateDCFiles.java;mapreduce/src/contrib/gridmix/src/test/system/org/apache/hadoop/mapred/gridmix/TestGridmixEmulationOfMultipleHDFSPrivateDCFiles.java;MODIFY;1;1;2;0;2;52.0;2.0;340.0
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2603;c7c8f2fe48d3a16ac70fb98f662d3d77292ba0cd;0;Amar Kamat;2011-06-22 04:48:53;Amar Kamat;2011-06-22 04:48:53;disable:1 high:1 ram:1 emulation:1 system:1 tests:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;TestGridmixEmulationOfMultipleHDFSPublicDCFiles.java;mapreduce/src/contrib/gridmix/src/test/system/org/apache/hadoop/mapred/gridmix/TestGridmixEmulationOfMultipleHDFSPublicDCFiles.java;MODIFY;1;1;2;0;2;53.0;2.0;347.0
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2603;c7c8f2fe48d3a16ac70fb98f662d3d77292ba0cd;0;Amar Kamat;2011-06-22 04:48:53;Amar Kamat;2011-06-22 04:48:53;disable:1 high:1 ram:1 emulation:1 system:1 tests:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;TestGridmixWith10minTrace.java;mapreduce/src/contrib/gridmix/src/test/system/org/apache/hadoop/mapred/gridmix/TestGridmixWith10minTrace.java;MODIFY;1;1;1;0;1;33.0;1.0;248.0
MAPREDUCE;Apache Hadoop Committee;big-data;MAPREDUCE-2603;c7c8f2fe48d3a16ac70fb98f662d3d77292ba0cd;0;Amar Kamat;2011-06-22 04:48:53;Amar Kamat;2011-06-22 04:48:53;disable:1 high:1 ram:1 emulation:1 system:1 tests:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;TestGridmixWith12minTrace.java;mapreduce/src/contrib/gridmix/src/test/system/org/apache/hadoop/mapred/gridmix/TestGridmixWith12minTrace.java;MODIFY;1;1;1;0;1;27.0;1.0;194.0
